raw_field,raw_value,observed_count,semantic_meaning,source,channel,label_role,included_or_excluded,reason
train_include_flag,True,535,row inclusion decision,sanction_evidence,S3,row_inclusion,included,locked only as row inclusion and never read as outcome
event_include_flag,1,535,upstream event curation inclusion,sanction_evidence,S3,row_inclusion,excluded_from_outcome,redundant curation flag and not an independent label
is_direct_label,1,535,explicit direct enforcement label,sanction_evidence,S3,L0_L1_hard_positive_and_anchor_PU_positive,included,positive indicator is explicit and false or missing remains unknown
is_indirect_label,0,535,indirect evidence indicator,sanction_evidence,S3,weak_evidence,excluded_from_current_label,no indirect evidence is present and zero is not an explicit negative
indirect_proxy_code,<blank>,535,indirect proxy taxonomy,sanction_evidence,S3,weak_evidence,excluded_from_current_label,no proxy is observed
label_status,accepted,535,source adjudication status,sanction_evidence,S3,quality_input,included_as_provenance,not an outcome by itself
label_release_status,released,535,source release status,sanction_evidence,S3,quality_input,included_as_provenance,not an outcome by itself
label_confidence,HIGH,505,period-link and label confidence,sanction_evidence,S3,severity_quality_input,included_as_period_link_provenance,not converted to a score or threshold
label_confidence,MEDIUM,30,period-link and label confidence,sanction_evidence,S3,severity_quality_input,included_as_period_link_provenance,not converted to a score or threshold
label_year_source,affected_fiscal_year,142,affected-period linkage method,sanction_evidence,S3,affected_fiscal_year_link,included_as_period_link_provenance,retained in event ledger
label_year_source,fiscal_year,393,fallback fiscal-period linkage method,sanction_evidence,S3,affected_fiscal_year_link,included_as_period_link_provenance,retained in event ledger
affected_fiscal_year,<nonblank>,142,explicit affected fiscal year,sanction_evidence,S3,affected_fiscal_year_link,included_as_period_link_input,equals label year in current source
affected_fiscal_year,<blank>,393,no explicit affected fiscal year,sanction_evidence,S3,affected_fiscal_year_link,excluded_as_direct_link,label_year_source records the fallback and absence is not negative
primary_violation_l1,DISCLOSURE,278,violation taxonomy subtype,sanction_evidence,S3,S3_taxonomy,included_as_provenance,same decision mechanism and not an independent channel
primary_violation_l1,FIN_REPORTING,110,violation taxonomy subtype,sanction_evidence,S3,S3_taxonomy,included_as_provenance,same decision mechanism and not an independent channel
primary_violation_l1,GOVERNANCE,51,violation taxonomy subtype,sanction_evidence,S3,S3_taxonomy,included_as_provenance,same decision mechanism and not an independent channel
primary_violation_l1,INTERMEDIARY_COMPLIANCE,38,violation taxonomy subtype,sanction_evidence,S3,S3_taxonomy,included_as_provenance,same decision mechanism and not an independent channel
primary_violation_l1,ISSUANCE_OFFERING,33,violation taxonomy subtype,sanction_evidence,S3,S3_taxonomy,included_as_provenance,same decision mechanism and not an independent channel
primary_violation_l1,LISTING_REGISTRATION,20,violation taxonomy subtype,sanction_evidence,S3,S3_taxonomy,included_as_provenance,same decision mechanism and not an independent channel
primary_violation_l1,BOND_PUBLIC_OFFERING,3,violation taxonomy subtype,sanction_evidence,S3,S3_taxonomy,included_as_provenance,same decision mechanism and not an independent channel
primary_violation_l1,AUDIT_ASSURANCE,1,violation taxonomy subtype,sanction_evidence,S3,S3_taxonomy,included_as_provenance,same decision mechanism and not an independent channel
primary_violation_l1,TRADING_MARKET_CONDUCT,1,violation taxonomy subtype,sanction_evidence,S3,separate_outcome_candidate,not_operationalized_as_separate_outcome,no locked endpoint mapping permits a securities-manipulation label
construct_target,periodic_disclosure_irregularity,143,construct taxonomy subtype,sanction_evidence,S3,S3_taxonomy,included_as_provenance,not an independent channel or label layer
construct_target,misleading_or_incomplete_disclosure,89,construct taxonomy subtype,sanction_evidence,S3,S3_taxonomy,included_as_provenance,not an independent channel or label layer
