catalogue_no,feature_id,feature_name_en,feature_name_vi,feature_block,feature_subblock,specification_tier,selection_origin,recommended_role,supporting_studies,source_location,formula_or_definition,required_raw_concepts,time_requirement,pu_role,expected_dtype,target_component_risk,catalogue_status,mapping_status,candidate_data_source,candidate_columns,source_authorization,coverage_overall,paired_two_year_coverage,coverage_by_year,coverage_by_board,coverage_by_industry,coverage_by_fold,denominator_diagnostics,temporal_eligibility,target_specific_leakage_decision,final_researcher_decision,decision_reason,notes
1,beneish_dsri,Days' Sales in Receivables Index,Chỉ số số ngày bán hàng nằm trong khoản phải thu,Canonical models,Beneish M-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved VAS mapping,BEN1999; BUI2021,BEN1999 variable construction; BUI2021 Table 1,(Net receivables_t / Sales_t) / (Net receivables_t-1 / Sales_t-1),net trade receivables; net sales,Fiscal years t and t-1,latent_risk_content,continuous,low,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
2,beneish_gmi,Gross Margin Index,Chỉ số biên lợi nhuận gộp,Canonical models,Beneish M-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved VAS mapping,BEN1999; BUI2021,BEN1999 variable construction; BUI2021 Table 1,[(Sales_t-1 - COGS_t-1)/Sales_t-1] / [(Sales_t - COGS_t)/Sales_t],net sales; cost of goods sold,Fiscal years t and t-1,latent_risk_content,continuous,low,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
3,beneish_aqi,Asset Quality Index,Chỉ số chất lượng tài sản,Canonical models,Beneish M-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved VAS mapping,BEN1999; BUI2021,BEN1999 variable construction; BUI2021 Table 1,[1 - (Current assets_t + Net PPE_t)/Total assets_t] / [1 - (Current assets_t-1 + Net PPE_t-1)/Total assets_t-1],current assets; net PPE; total assets,Fiscal years t and t-1,latent_risk_content,continuous,low,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
4,beneish_sgi,Sales Growth Index,Chỉ số tăng trưởng doanh thu,Canonical models,Beneish M-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved VAS mapping,BEN1999; BUI2021,BEN1999 variable construction; BUI2021 Table 1,Sales_t / Sales_t-1,net sales,Fiscal years t and t-1,latent_risk_content,continuous,low,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
5,beneish_depi,Depreciation Index,Chỉ số khấu hao,Canonical models,Beneish M-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved VAS mapping,BEN1999; BUI2021,BEN1999 variable construction; BUI2021 Table 1,[Depreciation_t-1/(Depreciation_t-1 + Net PPE_t-1)] / [Depreciation_t/(Depreciation_t + Net PPE_t)],period depreciation expense; net PPE,Fiscal years t and t-1,latent_risk_content,continuous,low,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
6,beneish_sgai,"Sales, General and Administrative Expenses Index",Chỉ số chi phí bán hàng và quản lý doanh nghiệp,Canonical models,Beneish M-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved VAS mapping,BEN1999; BUI2021,BEN1999 variable construction; BUI2021 Table 1,(SG&A_t/Sales_t) / (SG&A_t-1/Sales_t-1),selling expense; administrative expense; net sales,Fiscal years t and t-1,latent_risk_content,continuous,low,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
7,beneish_lvgi,Leverage Index,Chỉ số đòn bẩy tài chính,Canonical models,Beneish M-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved VAS mapping,BEN1999; BUI2021,BEN1999 variable construction; BUI2021 Table 1,[(Current liabilities_t + Long-term debt_t)/Total assets_t] / [(Current liabilities_t-1 + Long-term debt_t-1)/Total assets_t-1],current liabilities; long-term debt; total assets,Fiscal years t and t-1,latent_risk_content,continuous,low,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
8,beneish_tata,Total Accruals to Total Assets,Tổng dồn tích trên tổng tài sản,Canonical models,Beneish M-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved VAS mapping,BEN1999; BUI2021,BEN1999 variable construction; BUI2021 Table 1,(Income from continuing operations_t - Cash flow from operations_t) / Total assets_t,income from continuing operations; operating cash flow; total assets,Fiscal years t and t-1,latent_risk_content,continuous,medium,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
9,beneish_m_score,Beneish M-score,Điểm số M của Beneish,Canonical models,Beneish M-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Fixed-score benchmark only when all eight components are valid,BEN1999; BUI2021,BEN1999 Table 3; BUI2021 model,-4.840 + 0.920*DSRI + 0.528*GMI + 0.404*AQI + 0.892*SGI + 0.115*DEPI - 0.172*SGAI + 4.679*TATA - 0.327*LVGI,all eight Beneish components,Fiscal years t and t-1,latent_risk_content,continuous,medium,LOCK_CANDIDATE_AFTER_ALL_COMPONENTS_PASS,,,,,,,,,,,,,,,,No partial score and no silent substitution may retain the canonical name.
10,dechow_rsst_accruals,RSST Accruals,Dồn tích RSST,Canonical models,Dechow Model 1/F-score,C1_CANONICAL_FIXED,COMPLETE_PUBLISHED_SPECIFICATION,Confirmatory benchmark after exact/approved mapping,DEC2011; BUI2021,DEC2011 Table 3 and Model 1; BUI2021 Table 1,(ΔWC + ΔNCO + ΔFIN) / Average total assets,current assets; cash; current liabilities; debt in current liabilities; total assets; investments; total liabilities; long-term debt; short-term investments; preferred stock,At least t and t-1; change ROA requires t-2,latent_risk_content,continuous,low,LOCK_CANDIDATE_AFTER_MAPPING,,,,,,,,,,,,,,,,
